"full_id","osm_id","osm_type","waterway","website","seamark_ha","sanitary_d","phone","maxlength","maxdraft","maxairdraf","leisure","harbour_wa","harbour_re","harbour_pu","harbour_el","capacity","place","intermitte","name_en","name_de","lock","karst","tourism","natural","ele","ford","wikipedia","width","height","wikidata","seamark_br","seamark_ty","rapids","name","slope_values","area_values","geometry"
"n1031859937","1031859937","node","weir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039701747476863,2693.4762580202,c(794358.941176067, 5272429.28134076)
"n1178888903","1178888903","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Source of Cusancin","Cusancinsquelle",NA,NA,NA,"spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,"La Source du Cusancin",0.547443491381586,2693.4762580202,c(759739.756037279, 5246636.67178887)
"n1178889088","1178889088","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Source Bleue",0.361245768499111,2693.4762580202,c(759936.641394746, 5247181.19544533)
"n1191631989","1191631989","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.343473280241897,2693.4762580202,c(753974.832922267, 5245928.90719559)
"n1311673612","1311673612","node","weir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.214332876398276,2693.4762580202,c(783383.073088149, 5241518.31117673)
"n1311673654","1311673654","node","weir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.055391978279311,2693.4762580202,c(784228.763798366, 5242441.56381697)
"n1311673718","1311673718","node","weir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0520575595080364,2693.4762580202,c(780321.10560483, 5239656.33998483)
"n1311673810","1311673810","node","weir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0355466526375249,2693.4762580202,c(780845.034084066, 5240140.08882932)
"n1580960386","1580960386","node","waterfall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Audeux Waterfall","Audeux-Wasserfall",NA,NA,NA,NA,NA,NA,"fr:Cascade de l'Audeux",NA,NA,"Q86729730",NA,NA,NA,"Cascade de l'Audeux",0.14682084444895,2693.4762580202,c(754461.045541714, 5238594.84215453)
"n1699209639","1699209639","node","waterfall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.5",NA,NA,NA,NA,NA,NA,0.28637815934204,2693.4762580202,c(741681.299568836, 5225108.39964233)
"n1856470234","1856470234","node","rapids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"locality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Rapides de Soubey",0.216382825465452,2693.4762580202,c(807150.974933576, 5247689.42896576)
"n1856528857","1856528857","node","rapids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0784764257715611,2693.4762580202,c(767885.052737181, 5214345.52597286)
"n1857037792","1857037792","node","rapids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"locality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Rapides de Soubey",0.00963385249243472,2693.4762580202,c(806738.690217212, 5247252.43400286)
"n1857037815","1857037815","node","rapids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0183408193509438,2693.4762580202,c(805805.523221362, 5247381.98050505)
"n1871757833","1871757833","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Source du Dessoubre",0.225552291942709,2693.4762580202,c(772981.63404618, 5228468.00336456)
"n2020390732","2020390732","node","waterfall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,"Q21099819",NA,NA,NA,"Saut de l'Ognon",0.175874172705348,2693.4762580202,c(775256.236005326, 5301602.19113493)
"n2071875704","2071875704","node","waterfall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cave_entrance",NA,NA,"de:Source du Pontet",NA,NA,"Q16294730",NA,NA,NA,"Source du Pontet",0.456516232760732,2693.4762580202,c(749881.434386582, 5213589.08385087)
"n2076788611","2076788611","node","waterfall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"locality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Les Cuves d'Aïssey",0.0245574230345691,2693.4762580202,c(749823.815528779, 5242708.94346956)
"n2225657005","2225657005","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Source de l'Ognon",0.101719709075697,2693.4762580202,c(782261.065782471, 5306483.51446896)
"n2242773525","2242773525","node","weir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.207202841475401,2693.4762580202,c(744798.071917242, 5242314.37653364)
"n2358856497","2358856497","node",NA,"https://www.grandbesancon.fr/infos-pratiques/sports-loisirs/port-fluvial-du-grand-besancon-3-haltes-2-capitaineries-75-emplacements/","marina","yes","+33 3 81 81 75 35","20 m","1.80m","3.50m","marina","yes","yes","yes","yes","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"harbour",NA,"Halte fluviale de la Cité des Arts",0.0280807510381188,2693.4762580202,c(729650.925682491, 5235944.13915032)
"n2385492487","2385492487","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cable_overhead",NA,NA,0.086623741780058,2693.4762580202,c(694960.609992191, 5222781.38698974)
"n2385547162","2385547162","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cable_overhead",NA,NA,0.024557423034569,2693.4762580202,c(711487.042634522, 5228235.03013839)
"n2791185399","2791185399","node","waterfall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cascade du Rognon",0.522410097233832,2693.4762580202,c(744163.036719479, 5242857.74061256)
"n2791185401","2791185401","node","waterfall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.423328155748771,2693.4762580202,c(744101.900234985, 5242616.60404835)
"n2791185407","2791185407","node","waterfall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.674929262433832,2693.4762580202,c(744374.029903713, 5242768.18437316)
"n3464167361","3464167361","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Source de la Furieuse",0.334235346453682,2693.4762580202,c(721186.614835821, 5195899.00188587)
"n3679326235","3679326235","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Source de la Reverotte",0.458148403080968,2693.4762580202,c(764188.203246985, 5230511.18308935)
"n4262008923","4262008923","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.0152317514605406,2693.4762580202,c(800464.39960638, 5280034.69053399)
"n4397780464","4397780464","node","weir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.329526036005867,2693.4762580202,c(745307.972526276, 5177384.4729953)
"n4600384330","4600384330","node","weir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0122805630179283,2693.4762580202,c(797569.024139678, 5294215.56669434)
"n4958920330","4958920330","node","weir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.143832896388727,2693.4762580202,c(774061.45324412, 5232654.85826028)
"n5357555269","5357555269","node","weir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0265968944429854,2693.4762580202,c(796695.7721901, 5294472.47454069)
"n5664827045","5664827045","node","waterfall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cascade du Rummel",0.337655931849299,2693.4762580202,c(786818.04573438, 5301607.80789322)
"n5940471881","5940471881","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.19405527145444,2693.4762580202,c(752046.097700379, 5246115.14817003)
"n6186508535","6186508535","node","weir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010770891226339,2693.4762580202,c(800890.212632354, 5279992.93414482)
"n6186979964","6186979964","node","weir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0313931716561713,2693.4762580202,c(800966.640526786, 5279991.16940421)
"n6342964471","6342964471","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.0510484095635235,2693.4762580202,c(802216.768901444, 5246418.6753857)
"n6342966425","6342966425","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.141697735793451,2693.4762580202,c(801751.526259579, 5246908.27476478)
"n6397912120","6397912120","node","weir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0374505340192531,2693.4762580202,c(754766.751347604, 5268885.09964244)
"n6417092911","6417092911","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.0207160601910865,2693.4762580202,c(798844.559733465, 5293533.37862886)
"n6440521843","6440521843","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.137774722614842,2693.4762580202,c(790999.944957471, 5257688.86934373)
"n6516771434","6516771434","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.00963385249243506,2693.4762580202,c(790140.430120345, 5282555.001364)
"n6524645092","6524645092","node","weir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0722903293236851,2693.4762580202,c(719040.686034724, 5202800.52640221)
"n6654010247","6654010247","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"waterfall",0.181412097928382,2693.4762580202,c(752734.568529287, 5246676.66270168)
"n6718161192","6718161192","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.014043143874101,2693.4762580202,c(743206.444495397, 5191272.80486048)
"n6949340238","6949340238","node","waterfall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.132795442911603,2693.4762580202,c(786845.663668917, 5301899.70887908)
"n7050440201","7050440201","node","waterfall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107139548140101,2693.4762580202,c(751452.493074389, 5184078.01260188)
"n7057296336","7057296336","node","weir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0817079601062297,2693.4762580202,c(786317.953774622, 5296837.27197134)
"n7080908763","7080908763","node","waterfall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17533533098253,2693.4762580202,c(786755.680690599, 5301387.22334585)
"n7143447462","7143447462","node","weir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0701052593659147,2693.4762580202,c(747269.900997823, 5214910.05133288)
"n7285141394","7285141394","node","waterfall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0625403129992928,2693.4762580202,c(750444.434562468, 5184873.9975857)
"n7603907824","7603907824","node","waterfall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.309933337042715,2693.4762580202,c(783886.13300032, 5223579.88053738)
"n7679714339","7679714339","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.0454129525375889,2693.4762580202,c(763110.968411287, 5209977.73855092)
"n7781168128","7781168128","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.136454495671992,2693.4762580202,c(786862.222233124, 5302046.92108172)
"n7829511106","7829511106","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.00481703801488302,2693.4762580202,c(744533.749208914, 5193428.03603196)
"n7845420391","7845420391","node","weir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00761631748858937,2693.4762580202,c(741869.280328414, 5219499.4469724)
"n8142398120","8142398120","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.00340617341826277,2693.4762580202,c(801128.379809401, 5292033.29773104)
"n8142398135","8142398135","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.00340617341826277,2693.4762580202,c(801122.734521986, 5292040.21310786)
"n8231438941","8231438941","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.0490852621992126,2693.4762580202,c(777228.949002835, 5273600.988066)
"n8749121850","8749121850","node","weir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0215392839249996,2693.4762580202,c(788117.194259259, 5286520.71295747)
"n8863438052","8863438052","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.0991554017260261,2693.4762580202,c(769529.217899075, 5233395.24366569)
"n9204412663","9204412663","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.0218067786282507,2693.4762580202,c(737018.550182834, 5223954.43186601)
"n9526465819","9526465819","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.418404872363963,2693.4762580202,c(723493.105565217, 5216456.31233833)
"n9540398040","9540398040","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.0595135677832507,2693.4762580202,c(736705.76127418, 5223115.72217583)
"n9701839007","9701839007","node","waterfall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316114388068455,2693.4762580202,c(773038.426485148, 5228553.45715493)
"n9759999946","9759999946","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.164599035047966,2693.4762580202,c(741256.972090064, 5224806.11092677)
"n9759999947","9759999947","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.0807879118012291,2693.4762580202,c(741413.759191984, 5224916.37741803)
"n9759999948","9759999948","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.0889133868429562,2693.4762580202,c(741482.924585948, 5225008.14925187)
"n9759999949","9759999949","node",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,0.0889133868429562,2693.4762580202,c(741522.959657776, 5225035.88209436)
